,Title,Director,Cast,Year of release,Duration (min),Type,Earning,Rating
17,The Matrix,"Lana Wachowski,Lilly Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving",1999,136,"
Action, Sci-Fi            ",$171.48M,8.7
18,Goodfellas,Martin Scorsese,"Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco",1990,146,"
Biography, Crime, Drama            ",$46.84M,8.7
19,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams",1980,124,"
Action, Adventure, Fantasy            ",$290.48M,8.7
20,One Flew Over the Cuckoo's Nest,Milos Forman,"Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco",1975,133,"
Drama            ",$112.00M,8.7
21,Gisaengchung,Bong Joon Ho,"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Cho,Woo-sik Choi",2019,132,"
Comedy, Drama, Thriller            ",$53.37M,8.6
22,Drishyam 2,Jeethu Joseph,"Mohanlal,Meena,Ansiba,Esther Anil",2021,152,"
Crime, Drama, Thriller            ", ,8.6
23,Interstellar,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy",2014,169,"
Adventure, Drama, Sci-Fi            ",$188.02M,8.6
24,Cidade de Deus,"Fernando Meirelles,Kátia Lund","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Phellipe Haagensen",2002,130,"
Crime, Drama            ",$7.56M,8.6
25,Sen to Chihiro no kamikakushi,Hayao Miyazaki,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi",2001,125,"
Animation, Adventure, Family            ",$10.06M,8.6
26,Saving Private Ryan,Steven Spielberg,"Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns",1998,169,"
Drama, War            ",$216.54M,8.6
27,The Green Mile,Frank Darabont,"Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt",1999,189,"
Crime, Drama, Fantasy            ",$136.80M,8.6
28,La vita è bella,Roberto Benigni,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano",1997,116,"
Comedy, Drama, Romance            ",$57.60M,8.6
29,Se7en,David Fincher,"Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker",1995,127,"
Crime, Drama, Mystery            ",$100.13M,8.6
30,The Silence of the Lambs,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons",1991,118,"
Crime, Drama, Horror            ",$130.74M,8.6
31,Star Wars,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness",1977,121,"
Action, Adventure, Fantasy            ",$322.74M,8.6
32,Seppuku,Masaki Kobayashi,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba",1962,133,"
Action, Drama, Mystery            ", ,8.6
33,Shichinin no samurai,Akira Kurosawa,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki",1954,207,"
Action, Adventure, Drama            ",$0.27M,8.6
34,It's a Wonderful Life,Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell",1946,130,"
Drama, Family, Fantasy            ", ,8.6
35,Whiplash,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser",2014,106,"
Drama, Music            ",$13.09M,8.5
36,The Intouchables,"Olivier Nakache,Éric Toledano","François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot",2011,112,"
Biography, Comedy, Drama            ",$13.18M,8.5
37,The Prestige,Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine",2006,130,"
Drama, Mystery, Sci-Fi            ",$53.09M,8.5
38,The Departed,Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg",2006,151,"
Crime, Drama, Thriller            ",$132.38M,8.5
39,The Pianist,Roman Polanski,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox",2002,150,"
Biography, Drama, Music            ",$32.57M,8.5
40,Gladiator,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed",2000,155,"
Action, Adventure, Drama            ",$187.71M,8.5
41,American History X,Tony Kaye,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien",1998,119,"
Drama            ",$6.72M,8.5
42,The Usual Suspects,Bryan Singer,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin",1995,106,"
Crime, Drama, Mystery            ",$23.34M,8.5
43,Léon,Luc Besson,"Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello",1994,110,"
Action, Crime, Drama            ",$19.50M,8.5
44,The Lion King,"Roger Allers,Rob Minkoff","Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg",1994,88,"
Animation, Adventure, Drama            ",$422.78M,8.5
45,Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick",1991,137,"
Action, Sci-Fi            ",$204.84M,8.5
46,Nuovo Cinema Paradiso,Giuseppe Tornatore,"Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli",1988,155,"
Drama, Romance            ",$11.99M,8.5
47,Hotaru no haka,Isao Takahata,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara",1988,89,"
Animation, Drama, War            ", ,8.5
48,Back to the Future,Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover",1985,116,"
Adventure, Comedy, Sci-Fi            ",$210.61M,8.5
49,Once Upon a Time in the West,Sergio Leone,"Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards",1968,165,"
Western            ",$5.32M,8.5
50,Psycho,Alfred Hitchcock,"Anthony Perkins,Janet Leigh,Vera Miles,John Gavin",1960,109,"
Horror, Mystery, Thriller            ",$32.00M,8.5
51,Pather Panchali,Satyajit Ray,"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Chunibala Devi",1955,125,"
Drama            ",$0.54M,8.5
52,Rear Window,Alfred Hitchcock,"James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter",1954,112,"
Mystery, Thriller            ",$36.76M,8.5
53,Casablanca,Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains",1942,102,"
Drama, Romance, War            ",$1.02M,8.5
54,Modern Times,Charles Chaplin,"Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford",1936,87,"
Comedy, Drama, Family            ",$0.16M,8.5
55,City Lights,Charles Chaplin,"Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers",1931,87,"
Comedy, Drama, Romance            ",$0.02M,8.5
56,Hamilton,Thomas Kail,"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry",2020,160,"
Biography, Drama, History            ", ,8.4
57,Capharnaüm,Nadine Labaki,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad",2018,126,"
Drama            ",$1.66M,8.4
58,Joker,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy",2019,122,"
Crime, Drama, Thriller            ",$335.45M,8.4
59,Ratsasan,Ram Kumar,"Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan",2018,170,"
Action, Crime, Drama            ", ,8.4
60,Ayla: The Daughter of War,"Can Ulkay,Halenur Uzunoglu","Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,Kim Seol",2017,125,"
Biography, Drama, History            ", ,8.4
61,Kimi no na wa.,Makoto Shinkai,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki",2016,106,"
Animation, Drama, Fantasy            ",$5.02M,8.4
62,Dangal,Nitesh Tiwari,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra",2016,161,"
Action, Biography, Drama            ",$12.39M,8.4
63,Spider-Man: Into the Spider-Verse,"Bob Persichetti,Peter Ramsey,Rodney Rothman","Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali",2018,117,"
Animation, Action, Adventure            ",$190.24M,8.4
64,Avengers: Endgame,"Anthony Russo,Joe Russo","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",2019,181,"
Action, Adventure, Drama            ",$858.37M,8.4
65,Avengers: Infinity War,"Anthony Russo,Joe Russo","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans",2018,149,"
Action, Adventure, Sci-Fi            ",$678.82M,8.4
